label,message,message_length,word_count,num_digits,num_uppercase,num_links,has_call_to_action
smish,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU",163,26,2,128,1,0
smish,Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout,150,22,13,25,0,1
smish,Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM,135,25,14,21,0,1
smish,Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Calls£1/minMobsmoreLKPOBOX177HP51FL,159,25,19,22,0,1
smish,"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!",152,25,35,15,0,1
ham,Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too,87,17,0,4,0,0
ham,Oh Howda gud gud.. Mathe en samachara chikku:-),47,8,0,3,0,0
ham,"Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  &lt;EMAIL&gt; ,kerala",108,18,0,7,0,0
ham,Great! How is the office today?,31,6,0,2,0,0
ham,Oooh bed ridden ey? What are YOU thinking of?,45,9,0,5,0,0
smish,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,132,24,12,5,0,1
ham,Sent me ur email id soon,24,6,0,1,0,0
smish,"Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply",157,27,11,15,0,1
smish,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08718738002 Identifier Code: 48922 Expires 21/11/04,136,20,29,17,0,1
ham,Oic cos me n my sis got no lunch today my dad went out... So dunno whether 2 eat in sch or wat...,97,23,1,2,0,0
ham,Hey check it da. I have listed da.,34,8,0,2,0,0
smish,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only,136,22,21,21,0,1
ham,ALRITE,6,1,0,6,0,0
smish,Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow,148,27,17,4,0,1
ham,Its on in engalnd! But telly has decided it won't let me watch it and mia and elliot were kissing! Damn it!,107,22,0,3,0,0
ham,He said i look pretty wif long hair wat. But i thk he's cutting quite short 4 me leh.,85,19,1,2,0,0
smish,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,156,27,18,22,0,1
ham,At 7 we will go ok na.,22,7,1,1,0,0
ham,Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?,62,14,1,3,0,0
ham,"Derp. Which is worse, a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with",129,26,0,2,0,0
smish,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",152,28,15,6,0,1
smish,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!,119,26,11,31,0,1
smish,"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020",156,22,26,12,0,1
smish,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",136,26,22,17,0,1
ham,", im .. On the snowboarding trip. I was wondering if your planning to get everyone together befor we go..a meet and greet kind of affair? Cheers, ",146,27,0,3,0,0
ham,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,153,35,0,34,0,0
ham,She's fine. Good to hear from you. How are you my dear? Happy new year oh.,74,16,0,4,0,0
smish,Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,158,27,23,9,0,1
smish,Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15,155,24,18,4,0,1
smish,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,158,29,19,18,1,1
smish,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",155,26,20,40,1,1
ham,I dont understand your message.,31,5,0,1,0,0
smish,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,155,27,5,9,0,1
ham,Ok set let u noe e details later...,35,8,0,1,0,0
ham,He's in lag. That's just the sad part but we keep in touch thanks to skype,74,16,0,2,0,0
