Unnamed: 0,sentence,class
1951,fractals can also be used to compress large digital images into a much smaller equivalent by creating a mathemati-cal transformation that preserves (and can be used to re-cre ate) the essential characteristics of the image.,0
4547,"think of a stack of plates; you can only remove the top plate, and to add another plate, it must be placed on top.",1
2137,ascii is a universal computer code for english letters and characters.,0
26,in recent years there has been growing concern that internet users may eventually be treated differently by service providers depending on the kind of data they download or the kind of application programs they use online.,0
2312,a dmz is not a singlesecurity component; it signifies a capability.,0
6007,a class is a blueprint or template for creating objects in object-oriented programming.,1
6454,"internet protocol version 6 (ipv6) is the latest version of the internet protocol (ip), which is the communications protocol used to send and receive data over the internet.",1
3649,alerts and notifications: look for job sites that offer email alerts or push notifications to let you know when new job opportunities are posted.,1
3399,users can easily follow the conversation by viewing messages in the order they were posted and seeing how they relate to each other.,1
5393,"some common applications of image processing include:medical imagingrobotics and automationvideo surveillance and securityart and entertainmentimage processing is a complex and multidisciplinary field, drawing on knowledge from computer science, mathematics, physics, and engineering.",1
4008,"active rfid tags are more expensive, larger, and can have a longer read range.",1
1736,this mainly means further reducing the energy consumption of new pcs.,0
5750,"online censorship: issues related to the control and regulation of internet content, such as government censorship or restrictions on free speech.",1
1851,finite-state machines have many other interesting appli-cations.,0
6350,"the domain name system (dns) is a system used to translate human-readable domain names, such as www.",1
2526,"the javadesign team spent time worrying about malicious executables and how theycan be prevented from running amok, hence the sandbox was invented.",0
5313,"overall, isps play a critical role in enabling individuals and businesses to connect to the internet and access the vast array of information, services, and applications that are available online.",1
450,"although creating presentations in html may be more difficult than using a proprietary package and the results may be somewhat less polished, the universality of html and the ability to run presentations from a web site are strong advantages of that approach.",0
6136,"binders are a security threat, and it is important to use strong security measures, such as antivirus software and network monitoring tools, to detect and prevent malware infections.",1
6301,"ddos attacks are typically carried out using botnets, which are networks of compromised computers that are controlled remotely by the attacker.",1
6924,"for example, some music and video streaming services use drm to prevent users from downloading and sharing content, while e-book providers may use drm to restrict access to their content to specific devices or apps.",1
832,"they started by building tape recorders, but in the early 1950s the two entrepreneurs were among the earliest to realize the potential of the transistor, marketing transistor radios starting in 1956.",0
3016,the other set of top-level domains is based on the geographical location of the site.,0
7051,computer-aided software engineering (case) refers to the use of computer-based tools and methods to support software development and engineering activities.,1
432,they then created a more streamlined version of interpress that they called postscript.,0
29,"by the late 1970s, researchers at many major universities were using the unix operating system ,.",0
7142,"characters are used to represent textual data, such as words and sentences, in computer programs.",1
4254,natural language search: this approach involves entering a question or phrase into a search engine and allowing the search engine to interpret the query and provide relevant results.,1
2521,these applets are downloaded to the local computer orpc.,0
1554,the movement from mainframes that could run only one program at a time to machines that could simulta-neously serve many users created a kind of environmental niche in which these self-described hackers could flourish.,0
2009,it has been asked whybasicwas invented.,0
669,"this can be caused either by the inherent complexity of the calculation , or the sheer amount of data (as in dna sequencing; see bioinformatics and data mining)",0
3682,an operating system (os) is a software that manages the computer hardware and software resources and provides common services for computer programs.,1
3465,they are often used in data centers and other large-scale it environments to provide high-performance storage for critical applications and data.,1
6352,"com, into machine-readable ip addresses, such as 192.",1
6722,"this may involve notifying the user of the error, logging the error for later analysis, or attempting to recover from the error by executing an alternative path or retrying the operation.",1
7186,examples include amazon web services (aws) elastic load balancing (elb) and microsoft azure load balancer.,1
1888,a flash or “thumb” drive is a small data storage device that uses semiconductor flash memory rather than a disk drive.,0
5975,"in 1964, john kemeny and thomas kurtz at dartmouth college created basic (beginners all-purpose symbolic instruction code), which was designed to be easy to learn and use for beginners.",1
6547,"it was selected as the advanced encryption standard (aes) in 2001, replacing the data encryption standard (des).",1
754,"if the command is an external ms-dos utility such as “xcopy” (a file copying program), the shell runs that program, passing it the information (mainly file names) from the command line.",0
3861,"the impact of pl/i can be seen in several areas:language features: pl/i introduced several innovative language features, including support for arrays, structures, and pointers.",1
7244,"improved performance: client-server architecture can improve performance by allowing the server to handle complex and resource-intensive tasks, freeing up client resources for other tasks.",1
650,the color depth depends on how many bits of information that it can store per pixel (more information means more gradations of color or gray).,0
1734,"finally, waste can be properly sorted and disposed of, and recycled wherever feasible.",0
138,theprogrammer can then add new data or functions or modifythe inherited ones to create the necessary behavior for thespecialized class.,0
1211,"he explored the ways in which a sufficiently compelling and versatile technology encouraged people to form long-term contacts, form personal relationships, and carry out feuds.",0
3548,"they can be targeted based on demographics, interests, and behaviors, and can include images, videos, and interactive elements.",1
6907,"this can include the integration of telecommunications, computing, and media technologies, and the ability to access and share information across multiple devices and platforms.",1
4587,"overall, effective supply chain management involves close coordination and collaboration among all stakeholders, including suppliers, manufacturers, logistics providers, and customers, to ensure that products or services are delivered efficiently, cost-effectively, and with high quality.",1
2198,what is interesting is that the material needed to make this work‚ was purchased at a neighborhood store and cost less than euro 11.,0
599,"additionally, information on the server can also be used by software to automatically deliver the latest content",0
657,"this arrangement is simple, but it means that when a slave processor wants to schedule a program it must wait until the scheduling program gets its next time-slice on the master processor.",0
4805,"when pressure is applied to the top layer, it comes into contact with the conductive material, which triggers a response.",1
1439,lists are thus a more flexible way to implement such things as look-up tables.,0
2611,benetton pulled backfrom this rfid trial after a consumer group announced a global boycott ofthe clothing manufacturer.,0
307,the extracted features are then classified to determine what objects they might represent.,0
1631,"finally, a genetic program is a natural way to simulate actual biological evolution and behavior in fields such as epidemiology",0
869,"the process is then repeated to split the left side with a new pivot, and then the right side likewise.",0
5497,"robotics: genetic algorithms can be used to optimize the behavior of robots, such as the movement and coordination of robotic arms or the navigation of autonomous vehicles.",1
1950,"because of their ability to generate realistic textures at every level of detail, many computer games and simulations use fractals to generate terrain interactively.",0
4796,"created new social etiquette: texting and instant messaging have created new social etiquette norms around things like response time, the appropriateness of certain types of messages, and the use of emojis and other symbols.",1
2113,"the word derives from the name of the mathematician, mohammed ibn-musa al-khwarizmi, who was part of the royal court in baghdad and who lived from about 780 to 850.",0
4211,there are several trends in recent years that have changed the emphasis in scheduling algorithms.,1
3801,"extensibility: perl has a large library of modules that can be used to extend its functionality, as well as support for calling code written in other languages such as c. community support: perl has a large and active community of developers, who contribute to its development and provide support and resources for users.",1
5439,"this makes it possible to verify that the data has not been tampered with or corrupted in any way, as any changes to the input data will result in a different hash value.",1
6649,"early voting systems can also pose some challenges, such as the need for additional polling places and staff to manage the early voting process, which can increase costs for local jurisdictions.",1
1633,the routines are given a task (such as sorting data or recognizing patterns) and the most suc-cessful routines are allowed to “reproduce” by exchanging genetic material.,0
791,these smart cards can store a hundred or more times the data of a magnetic strip card.,0
2610,"benetton is another clothing manufacturer that tested rfid tags in someproducts, such as, by weaving the technology into the collar tags of clothesthat cost at least $15 to keep track of them as they ship.",0
4575,"overall, supercomputers play a crucial role in advancing scientific research, technological innovation, and economic growth.",1
6198,file cache is a type of cache memory used by computer operating systems to improve the performance of file system access.,1
2062,"in choosing a system, consumers are locked into their choice because the microprocessor pin sockets used for each chipset architecture are different.",0
3889,"overall, plug-ins are an important tool for extending the functionality of software applications, and have played an important role in the development of modern software platforms.",1
2392,a dynamic link library (dll) is a collection of small programs that larger programs can load when needed to complete specific tasks.,0
2781,"generally speaking, the faster the rates at which bits are being sent, the more sensitive the transmission is to effects that can cause errors.",0
6082,"it is used in various applications, such as email, text files, and programming languages.",1
4853,the development of variable fonts has also revolutionized typography by allowing for more customizable and responsive typefaces.,1
3586,"here are some examples of email frauds:phishing: this is a type of email fraud in which the sender pretends to be a trustworthy entity, such as a bank or a popular website, to trick the recipient into providing personal information or login credentials.",1
